"Listing Nickname","Month","Owner Revenue","Commission","Occupancy","ANR"
"314","jan. 2026","1 080,63","1 080,63","0,032258065","1 080,63"
"315","jan. 2026","2 019,9900000000002","2 019,9900000000002","0,096774194","673,33"
"416","jan. 2026","5 121,280000000001","5 121,280000000001","0,290322581","569,031111111"
"515","jan. 2026","6 623,24","6 623,24","0,419354839","509,48"
"Alviksvägen 25","jan. 2026","14 142,25","3 535,54","0,433333333","1 832,586153846"
"Baggensg. 16, 1101","jan. 2026",,,"0",
"Baggensg. 16, 1102","jan. 2026",,,"0",
"Baggensg. 16, 1302","jan. 2026",,,"0",
"Baggensg. 16A, 1101","jan. 2026",,,"0",
"Bergsg. 15 1302","jan. 2026","22 482,1","5 620,49","0,580645161","2 078,909444444"
"Bergsg. 15, 1401","jan. 2026","13 660,95","3 415,22","0,607142857","1 397,945294118"
"Bondeg. 77 1103","jan. 2026","2 340,12","585,03","0,25","1 305,7"
"Bondeg. 77 1106","jan. 2026",,,"0",
"Bondeg. 77 1303","jan. 2026","2 985,88","746,48","0,363636364","1 227,11"
"Bondeg. 77 1306","jan. 2026","1 069,71","267,42","0,272727273","719,97"
"Bondeg. 77 1405","jan. 2026","9 563,2","2 390,8","0,416666667","2 933,94"
"Bondeg. 77 1506","jan. 2026","2 005,1399999999999","501,29999999999995","0,545454545","550,4"
"Bondeg. 77 1601","jan. 2026","6 872,32","1 718,08","0,307692308","2 631,185"
"Bondeg. 77 1602","jan. 2026","5 058,15","1 264,55","0,333333333","2 225,6325"
"Bondegatan 77, 1204","jan. 2026","685","171,25","0,083333333","1 214,01"
"Bondegatan 77, 1504","jan. 2026","711,85","177,96","0,083333333","1 252,71"
"Bondegatan 77, 1505.","jan. 2026","3 069,81","767,46","0,25","1 736,65"
"Döbelnsg. 6 1301","jan. 2026","6 013,740000000001","1 503,4499999999998","1","2 089,268"
"Döbelnsgatan 6 1201","jan. 2026","2 361,32","590,32","1","1 169,71"
"Eriksd.g. 1104","jan. 2026","16 886,74","5 628,890000000001","0,64516129","1 320,1135"
"Folku.g.110 1202","jan. 2026","11 454,18","2 863,56","0,533333333","1 305,986875"
"Folku.g.110 1502","jan. 2026","18 546,07","4 636,54","0,576923077","2 178,926666667"
"Folkungag. 107 1101","jan. 2026","25 236,67","6 309,209999999999","0,516129032","2 474,7775"
"Folkungag. 107 1201","jan. 2026","14 020,65","3 505,18","0,35483871","2 186,176363636"
"Folkungag. 107 1202","jan. 2026","8 400,75","2 100,21","0,387096774","1 344,831666667"
"Funckens gränd 2","jan. 2026",,,"0",
"GG Double large 27","jan. 2026","18 836,480000000003","18 836,480000000003","0,451612903","1 390,465714286"
"GG Double large 37","jan. 2026","14 144,369999999999","14 144,369999999999","0,44","1 285,85"
"GG36. Family small","jan. 2026","36 758,64","36 758,64","0,5","2 503,756"
"GG45. Suite","jan. 2026","45 629,93","45 629,93","0,366666667","4 148,175454545"
"GOT Adelsg 38 Terras","jan. 2026",,,"0",
"GOT Adelsgatan 37","jan. 2026",,,"0",
"GOT Adelsgatan 38","jan. 2026",,,"0",
"GOT Mellang.22, 1101","jan. 2026",,,"0",
"GOT Nunneg.2 1201","jan. 2026",,,"0",
"GOT Nygatan 38, B","jan. 2026",,,"0",
"GOT Nygatan 38, C","jan. 2026","3 550,8900000000003","887,73","0,096774194","2 186,82"
"GOT Ryska Gränd 1","jan. 2026","7 492,960000000002","1 873,2799999999997","0,516129032","665,56"
"GOT Skepg.2 1001","jan. 2026",,,"0",
"GOT Skepg.22 (gårdh)","jan. 2026",,,"0",
"GOT Visborg 13 (BV)","jan. 2026",,,"0",
"GOT Visborg 13 (H)","jan. 2026",,,"0",
"GOT Visborg 13 (STU)","jan. 2026",,,,
"GOT Visborg 13 Hus","jan. 2026",,,"0",
"GOT nunneg.2 1101","jan. 2026",,,"0",
"GOT skepg. 2 001","jan. 2026",,,"0",
"GOT skepg. 2 1101","jan. 2026",,,"0",
"GOT, Finng. 5","jan. 2026",,,"0",
"GOT. Adelsg. 41 1101","jan. 2026",,,"0",
"GOT. Almedalen Lgh13","jan. 2026","1 064,8","266,2","0,032258065","1 924,05"
"GOT. Almedalen Lgh14","jan. 2026",,,"0",
"GOT. Klobru. 3 (hus)","jan. 2026",,,"0",
"GOT. Ryska gränd 3","jan. 2026",,,"0",
"GOT. Smedjeg. 13 (A)","jan. 2026","1 751,88","437,97","0,096774194","1 168,25"
"GOT. Smedjeg. 13 (C)","jan. 2026",,,"0",
"GOT. Smedjeg. 13 Röd","jan. 2026",,,"0",
"GOT. StHans 166","jan. 2026",,,"0",
"GOT. StHans 167","jan. 2026",,,"0",
"GOT. StHans 168","jan. 2026",,,"0",
"GOT. Stora Torg 101","jan. 2026",,,"0",
"GOT. Stora Torg 103","jan. 2026",,,"0",
"GOT. skepg22 1001G  ","jan. 2026","0","0","0",
"GOT. skeppg 22 1201","jan. 2026",,,"0",
"Got. Norra Kyrk.g 11","jan. 2026",,,"0",
"Got. Persg 4 BV väns","jan. 2026",,,"0",
"Got. Persg4 Hus","jan. 2026",,,"0",
"Got. Persg4 höger","jan. 2026",,,"0",
"Got. Persg4 vänster","jan. 2026",,,"0",
"Got. Stora Torg 102","jan. 2026",,,"0",
"Got. Stora Torg 202","jan. 2026","578,11","144,53","0,032258065","1 158,19"
"Got. Stora Torg 203","jan. 2026",,,"0",
"Got. Stora Torg 204","jan. 2026",,,"0",
"Got. Stora torg 201","jan. 2026",,,"0",
"Got. Stora torg 301","jan. 2026",,,"0",
"Grevg.13 Källare","jan. 2026","11 217,859999999999","3 739,29","0,419354839","1 142,058461538"
"Grevg.13 vån 2","jan. 2026","17 207,6","5 735,860000000001","0,766666667","1 113,97826087"
"Hantv.g, 33 1201","jan. 2026","32 848,22","8 212,21","1","1 522,17"
"Hantv.g. 54 1104","jan. 2026","12 955,830000000002","3 238,92","0,483870968","1 713,598"
"Hantv.g. 54 1601","jan. 2026","18 423,609999999997","4 605,91","0,448275862","2 430,792307692"
"Hantv.g. 54 1602","jan. 2026","14 829,560000000001","3 707,35","0,615384615","1 672,955"
"Hantverkarg.54 1103","jan. 2026","4 324,950000000001","1 081,26","0,322580645","838,963"
"Högberg.33 1401","jan. 2026","11 424,39","4 896,16","0,258064516","2 799,62625"
"Jungfrug.7B 1001 (V)","jan. 2026","13 979,11","5 991,04","0,620689655","1 703,413333333"
"Jungfrug.7B 1002 (V)","jan. 2026","30 632,63","13 128,289999999999","0,870967742","2 234,802222222"
"Jungfrug.7B 1003 (V)","jan. 2026","4 614,65","1 977,7399999999998","0,433333333","910,516923077"
"Jungfrug.7B 1005 (H)","jan. 2026","11 604,13","4 973,2","0,666666667","1 189,1735"
"Jungfrug.7B 1103 (H)","jan. 2026","13 910,72","5 961,769999999999","0,633333333","1 484,851578947"
"Jungfrug.7B 1103 (V)","jan. 2026","31 586,06","13 536,880000000001","0,566666667","3 339,65"
"Jungfrug.7B 1201 (V)","jan. 2026","7 623,1","3 267,0300000000007","0,333333333","1 636,726"
"Jungfrug.7B 1203 (V)","jan. 2026","45 027,62","19 297,54","0,666666667","3 868,292"
"Jungfrug.7B 1301 (V)","jan. 2026","14 162,369999999999","6 069,6","0,566666667","1 592,091764706"
"Jungfrug.7B 1302 (V)","jan. 2026","6 992,08","2 996,61","0,3","1 529,293333333"
"Jungfrug.7B 1304 (V)","jan. 2026","4 396,56","1 884,22","0,266666667","1 086,57"
"Jungfrug.7B 1401 (V)","jan. 2026","14 877,84","4 959,27","0,206896552","3 625,235"
"Jungfrug.7B 1402 (H)","jan. 2026","23 060,46","9 883,050000000001","0,5","2 924,148"
"Kstrand167 1301","jan. 2026","5 695,83","1 423,94","0,233333333","1 314,86"
"Kstrand167 1404","jan. 2026","9 450,15","2 362,59","0,516129032","1 137,504375"
"Kstrand167 1504","jan. 2026","14 044,21","3 510,99","0,64516129","1 168,753"
"Kstrand167 1603","jan. 2026","3 137,01","784,23","0,193548387","998,255"
"Kungs.h.g10 källare","jan. 2026","14 925,630000000001","3 731,3899999999994","0,413793103","2 270,0925"
"Kungsh.g.10 1601","jan. 2026","15 557,2","3 889,2700000000004","0,482758621","2 043,996428571"
"Kungsh.g.10 1602","jan. 2026","13 353,960000000001","3 338,51","0,741935484","838,173043478"
"Kungsh.g.10 1603","jan. 2026","16 566,23","4 141,54","0,666666667","1 461,815"
"Kungsh.torg 1202","jan. 2026","15 279,88","3 819,9900000000002","0,677419355","1 265,286666667"
"Kungsh.torg 1301","jan. 2026","10 833,619999999999","2 708,4300000000003","0,290322581","2 135,001111111"
"Kungsh.torg 1401","jan. 2026","32 643,280000000002","8 160,77","0,580645161","3 107,318888889"
"Kungsh.torg 15 1101","jan. 2026","22 986,3","5 746,69","0,931034483","1 294,957407407"
"Kungsh.torg 15 1501","jan. 2026","8 744,54","2 186,13","0,225806452","2 283,528571429"
"Kungstg. 9 1503","jan. 2026","4 244,8099999999995","1 061,21","0,352941176","1 499"
"Kungstg.9, 1601pent","jan. 2026","17 981,35","4 495,43","0,677419355","1 415,528095238"
"Kyrks. 12B 1304","jan. 2026",,,"0",
"Kyrks. 12B stora","jan. 2026",,,"0",
"Kyrks. 12b Lilla NY","jan. 2026",,,"0",
"Kyrkst. 12B Hus","jan. 2026","7 720,5599999999995","1 930,1399999999999","0,193548387","2 078,615"
"Köpmantorg 10, 1101","jan. 2026","11 892,48","2 973,16","0,806451613","908,918"
"Köpmantorg 10, 1201","jan. 2026","13 888,539999999999","3 472,1299999999997","0,741935484","1 112,816086957"
"Köpmantorg 10, 1401","jan. 2026","13 948,210000000001","3 487,1000000000004","0,838709677","1 015,989615385"
"Köpmantorg 10, 1501","jan. 2026","11 203,16","2 800,82","0,64516129","1 077,033"
"Köpmantorg 10, 1502","jan. 2026","15 596,91","3 899,23","0,870967742","1 060,215925926"
"LGH 123","jan. 2026","4 967,75","1 241,8600000000001","1","224,36"
"LGH 125","jan. 2026","0","0","0",
"LGH 127","jan. 2026",,,"0",
"LGH 129","jan. 2026",,,"0",
"LGH 131","jan. 2026",,,"0",
"LGH 133","jan. 2026",,,"0",
"LGH 137","jan. 2026",,,"0",
"LGH 139","jan. 2026","0","0","0",
"LGH 141","jan. 2026",,,"0",
"LGH 147","jan. 2026",,,"0",
"LGH 149","jan. 2026",,,"0",
"LGH 155","jan. 2026","8 140,88","2 035,22","0,709677419","538,22"
"LGH 201","jan. 2026","5 199,88","1 300,04","0,903225806","260"
"LGH 203","jan. 2026","5 199,94","1 300,14","1","234,84"
"LGH 205","jan. 2026","4 699,6","1 174,9",,
"Lilla Nyg.20 1202","jan. 2026","22 636,65","5 659,15","0,709677419","1 763,992727273"
"Luntmg. 94 1301","jan. 2026","26 647,479999999996","6 661,92","0,516129032","2 769,234375"
"Luntmg. 96 1202","jan. 2026","31 880,010000000002","7 969,970000000001","0,774193548","2 086,139166667"
"Mälartorget 1201","jan. 2026","27 230,29","6 807,57","0,766666667","2 053,955217391"
"Norrtullsg. 65, 1601","jan. 2026","1 305,52","326,36","0,8","709,9"
"PH Erikdal.g.19 1102","jan. 2026","16 593,379999999997","5 531,150000000001","0,709677419","1 138,746363636"
"PH Ingarö","jan. 2026",,,"0",
"PH Luntm.59 Stud (V)","jan. 2026","4 970,33","1 242,55","0,47826087","810,425454545"
"PH Luntmg.59 (H)","jan. 2026","10 913,65","2 728,46","0,80952381","1 279,885294118"
"PH Svartm.g19 1101","jan. 2026","13 020,219999999998","1 446,72","0,419354839","1 557,074615385"
"PH Svartm.g19 1301","jan. 2026","16 647,87","7 134,819999999999","0,741935484","1 262,288695652"
"PH Svartm.g19 1401","jan. 2026","41 416,57","17 749,920000000002","0,870967742","2 500,774444444"
"PH Upplan 9A - 1302","jan. 2026","10 146,41","2 536,58","0,580645161","990,975"
"PH Upplan 9B Pent.","jan. 2026","14 459,05","3 614,7600000000007","0,838709677","983,776538462"
"PH Östgöta 32, 1301","jan. 2026","10 977,43","3 659,16","0,766666667","948,834782609"
"PH Östgötag.32, 1101","jan. 2026","9 722,32","3 240,75","0,580645161","904,893888889"
"Polhemsg. 10 1301","jan. 2026","2 027,06","506,78","0,161290323","768,94"
"Polhemsg. 19 1102","jan. 2026","5 041,47","1 260,3600000000001","0,290322581","1 111,44"
"Polhemsg. 19 1202","jan. 2026","6 567,36","1 641,8400000000001","0,419354839","931,278461538"
"Polhemsg. 19 1503","jan. 2026","23 509,61","5 877,38","0,612903226","2 103,884736842"
"Polhemsg. 19 1602","jan. 2026","10 877,789999999999","2 719,4199999999996","0,35483871","1 536,45"
"Polhemsg.10 1001","jan. 2026","1 041,31","260,33","0,032258065","1 923,51"
"Polhemsg.10 1101","jan. 2026","2 870,8599999999997","717,74","0,193548387","1 018,97"
"Polhemsg.10 1503","jan. 2026","6 484,799999999999","1 621,21","0,290322581","1 383,651111111"
"Polhemsg.19 1103","jan. 2026","12 226,310000000001","3 056,56","0,5","1 513,086428571"
"Polhemsg.19 1203","jan. 2026","12 275,08","3 068,75","0,483870968","1 616,817333333"
"Polhemsg.19 1502","jan. 2026","3 538,5","884,6499999999999","0,193548387","1 058,965"
"Polhemsg.19 1601","jan. 2026","15 445,210000000003","3 861,36","0,741935484","1 066,374347826"
"Pontonjärsg.12 1201","jan. 2026","7 497,48","1 874,37","0,290322581","1 661,173333333"
"Prästg. 48, 0901","jan. 2026","16 841,039999999997","4 210,26","0,580645161","1 610"
"Prästg. 48, 1001","jan. 2026","10 488,06","2 622,01","0,413793103","1 598,799166667"
"Prästg. 48, 1101","jan. 2026","18 559,329999999998","4 639,85","0,566666667","1 819,596470588"
"Prästg. 48, 1102","jan. 2026","9 239,9","2 309,9900000000002","0,705882353","1 481,005833333"
"Rehnsg. 5 1104","jan. 2026","12 338,769999999997","3 084,7","0,566666667","1 288,538823529"
"Renstier.g17 1101","jan. 2026","17 729,64","4 432,4400000000005","0,483870968","2 011,098666667"
"Renstier.g17 1302","jan. 2026","14 464,179999999997","3 616,0200000000004","0,516129032","1 639,19875"
"Rådm.g 17 1601","jan. 2026","11 468,220000000001","2 867,02","0,35483871","1 771,306363636"
"Rörstrandsg. 50 1301","jan. 2026","9 681,31","2 420,33","0,548387097","1 147,883529412"
"Rörstrandsg. 50 1501","jan. 2026","6 979,400000000001","1 744,8000000000002","0,4","948,535833333"
"Rörstrandsg.50A 1101","jan. 2026","3 142,8","785,68","0,129032258","1 341,17"
"Rörstrandsg.50A 1201","jan. 2026","3 213,7400000000002","803,43","0,161290323","1 105,61"
"Rörstrandsg.50A 1202","jan. 2026","8 717,18","2 179,28","0,612903226","773,231578947"
"S.Home LGH 312","jan. 2026","17 195,44","17 195,44","0,64516129","859,772"
"S.Home LGH 327","jan. 2026","15 812,260000000002","15 812,260000000002","0,451612903","1 129,45"
"S.Home LGH 329","jan. 2026","8 474,62","8 474,62","0,225806452","1 210,66"
"S.Home LGH 330","jan. 2026","2 040,1","2 040,1","0,064516129","1 020,05"
"Scheeleg.8, 1403","jan. 2026","8 113,03","2 028,2800000000002","0,333333333","1 468,144"
"St Eriksg. 69 1201","jan. 2026","12 862,750000000002","3 215,6800000000003","0,387096774","1 928,526666667"
"St Eriksg. 69 1303","jan. 2026","8 716,14","2 179,0299999999997","0,258064516","1 970,4825"
"Stagneliusv. 36 1505","jan. 2026","4 761,789999999999","1 190,45","0,225806452","1 461,16"
"Stora Nyg. 42 1402","jan. 2026","32 091,85","8 022,96","0,6","2 872,727777778"
"Stora Nyg42 1401 Sto","jan. 2026","32 640,120000000003","8 160,02","0,533333333","3 371,571875"
"Sveavägen 123 1001","jan. 2026","7 942,12","1 985,5","0,419354839","1 195,464615385"
"Sveavägen 123 1201","jan. 2026","11 159,539999999999","2 789,8599999999997","0,419354839","1 252,469230769"
"Sveavägen 123 1202","jan. 2026","12 365,35","3 091,3100000000004","0,689655172","1 079,845"
"Sveavägen 125 1001","jan. 2026","12 479,11","3 119,83","0,838709677","829,715769231"
"Sveavägen 125, 1302","jan. 2026","6 698,959999999999","1 674,77","0,35483871","1 093,330909091"
"Torsg. 76 1001","jan. 2026","11 249,43","2 812,3999999999996","0,516129032","1 006,380625"
"Torsg. 76 1201","jan. 2026","12 362,04","3 090,52","0,483870968","1 179,755333333"
"Torsg. 76 1401","jan. 2026","14 683,57","3 670,87","0,6","1 167,763333333"
"Torsg. 76 1402","jan. 2026","23 641,57","5 910,349999999999","0,666666667","1 704,0465"
"Tuleg. 12 1504","jan. 2026","10 952,92","2 738,19","0,566666667","1 063,446470588"
"Upplandsg.76 1101","jan. 2026","18 810,690000000002","4 702,6900000000005","0,322580645","3 101,774"
"Upplandsg.76 1102","jan. 2026","9 964,779999999999","2 491,18","0,290322581","2 012,124444444"
"Upplandsg.76 1401","jan. 2026","15 760,859999999999","3 940,2299999999996","0,483870968","1 657,5"
"Upplandsg.76 1602","jan. 2026","12 908,18","3 227,0899999999997","0,451612903","1 689,027857143"
"Urvädersg 10, 1203","jan. 2026","1 286,6","321,65","0,034482759","2 431,36"
"Västerl.g. 40","jan. 2026",,,,
"mälartorget 1102","jan. 2026","22 749,120000000003","5 687,26","0,451612903","2 649,427857143"
"Ö23 - 1201","jan. 2026","31 186,089999999997","5 503,45","0,774193548","2 079,190833333"
"Österlångg. 5, 1301","jan. 2026",,,"0",
